NAME: print, TYPE:LIBRARY FUNCTION, LINENO: 1, SCOPE: #0
NAME: input, TYPE:LIBRARY FUNCTION, LINENO: 1, SCOPE: #0
NAME: objectmemberkeys, TYPE:LIBRARY FUNCTION, LINENO: 1, SCOPE: #0
NAME: objecttotalmembers, TYPE:LIBRARY FUNCTION, LINENO: 1, SCOPE: #0
NAME: objectcopy, TYPE:LIBRARY FUNCTION, LINENO: 1, SCOPE: #0
NAME: totalarguments, TYPE:LIBRARY FUNCTION, LINENO: 1, SCOPE: #0
NAME: argument, TYPE:LIBRARY FUNCTION, LINENO: 1, SCOPE: #0
NAME: typeof, TYPE:LIBRARY FUNCTION, LINENO: 1, SCOPE: #0
NAME: strtonum, TYPE:LIBRARY FUNCTION, LINENO: 1, SCOPE: #0
NAME: sqrt, TYPE:LIBRARY FUNCTION, LINENO: 1, SCOPE: #0
NAME: cos, TYPE:LIBRARY FUNCTION, LINENO: 1, SCOPE: #0
NAME: sin, TYPE:LIBRARY FUNCTION, LINENO: 1, SCOPE: #0
NAME: #ANON_FUNX_1, TYPE:USER FUNCTION, LINENO: 7, SCOPE: #0
NAME: four, TYPE:FORMAL ARGUMENT, LINENO: 11, SCOPE: #1
NAME: four, TYPE:USER FUNCTION, LINENO: 11, SCOPE: #0
NAME: four, TYPE:LOCAL VARIABLE, LINENO: 11, SCOPE: #1
